name,owner,language,age_years,pull_requests,releases,last_update_days,issues_total,issues_closed,issues_ratio,stars,contributors
freeCodeCamp,freeCodeCamp,TypeScript,10.67123287671233,25732,0,-1,19832,19639,0.9902682533279549,426292,5556
build-your-own-x,codecrafters-io,Markdown,7.295890410958904,142,0,-1,824,595,0.7220873786407767,413416,122
awesome,sindresorhus,Unknown,11.126027397260273,679,0,-1,354,340,0.96045197740113,394370,608
free-programming-books,EbookFoundation,Python,11.873972602739727,6821,0,-1,1181,1152,0.9754445385266723,365906,2988
public-apis,public-apis,Python,9.43013698630137,1872,0,-1,712,704,0.9887640449438202,362636,1242
developer-roadmap,kamranahmedse,TypeScript,8.446575342465753,3694,1,-1,2942,2693,0.9153636981645139,334403,1367
coding-interview-university,jwasham,Unknown,9.219178082191782,415,0,-1,516,453,0.877906976744186,324730,310
system-design-primer,donnemartin,Python,8.493150684931507,200,0,-1,339,91,0.26843657817109146,317284,120
996.ICU,996icu,Unknown,6.416438356164384,1071,0,-1,0,0,0,274140,639
awesome-python,vinta,Python,11.164383561643836,544,0,-1,0,0,0,256414,404
awesome-selfhosted,awesome-selfhosted,Unknown,10.235616438356164,2394,1,-1,806,806,1.0,243351,1237
project-based-learning,practical-tutorials,Unknown,8.36986301369863,182,0,-1,210,79,0.3761904761904762,240860,104
react,facebook,JavaScript,12.257534246575343,12137,105,-1,14001,13199,0.9427183772587673,238354,1758
vue,vuejs,TypeScript,12.076712328767123,1133,249,-1,10028,9673,0.9645991224571201,209293,403
Python,TheAlgorithms,Python,9.10958904109589,2977,0,-1,1587,1511,0.9521109010712036,204309,1288
linux,torvalds,C,13.978082191780821,10,0,-1,0,0,0,200549,9983
javascript-algorithms,trekhleb,JavaScript,7.421917808219178,302,0,-1,366,229,0.6256830601092896,193062,214
tensorflow,tensorflow,C++,9.8,36044,219,-1,40743,39845,0.9779594040694107,191298,3900
computer-science,ossu,HTML,11.312328767123288,299,0,-1,652,638,0.9785276073619632,190883,152
the-book-of-secret-knowledge,trimstray,Unknown,7.1726027397260275,122,0,-1,0,0,0,183423,100
You-Dont-Know-JS,getify,Unknown,11.775342465753425,368,0,-1,944,863,0.9141949152542372,183012,186
CS-Notes,CyC2018,Unknown,7.528767123287671,374,0,-1,571,448,0.7845884413309983,181541,229
ohmyzsh,ohmyzsh,Shell,15.997260273972604,3377,0,-1,4964,4824,0.9717969379532635,180893,2462
AutoGPT,Significant-Gravitas,Python,2.441095890410959,3200,68,-1,3394,3232,0.9522687094873306,178024,769
vscode,microsoft,TypeScript,9.978082191780821,36283,177,-1,205624,193477,0.9409261564797884,176019,2268
bootstrap,twbs,MDX,14.07945205479452,8974,93,0,22751,22346,0.9821985846775966,172895,1393
flutter,flutter,Dart,10.473972602739726,43862,7,-1,108859,96953,0.8906291624946031,172049,1683
Python-100-Days,jackfrued,Jupyter Notebook,7.484931506849315,13,0,-1,691,118,0.170767004341534,171185,13
gitignore,github,Unknown,14.8,1716,0,-1,0,0,0,168841,5316
the-art-of-command-line,jlevy,Unknown,10.26849315068493,317,0,-1,258,136,0.5271317829457365,157869,164
stable-diffusion-webui,AUTOMATIC1111,Python,3.0054794520547947,1874,27,-1,7830,5467,0.6982120051085569,155878,590
JavaGuide,Snailclimb,Java,7.301369863013699,1180,0,0,1104,1032,0.9347826086956522,151385,592
ollama,ollama,Go,2.1616438356164385,2475,143,-1,8023,6242,0.7780132120154556,150791,512
awesome-go,avelino,Go,11.139726027397261,3458,0,-1,688,682,0.9912790697674418,150656,2014
transformers,huggingface,Python,6.821917808219178,16681,224,-1,17823,16738,0.9391236043314818,148722,3492
javascript,airbnb,JavaScript,12.816438356164383,810,0,-1,1367,1269,0.9283101682516459,147296,513
Microsoft-Activation-Scripts,massgravel,Batchfile,5.616438356164384,6,24,-1,722,722,1.0,145730,10
youtube-dl,ytdl-org,Python,14.821917808219178,1642,341,-1,26771,23125,0.8638078517799112,136965,804
next.js,vercel,JavaScript,8.887671232876713,23664,1000,-1,23390,21070,0.9008123129542539,133954,3677
awesome-chatgpt-prompts,f,JavaScript,2.717808219178082,171,0,-1,0,0,0,133092,129
n8n,n8n-io,TypeScript,6.175342465753425,10641,382,-1,5195,4570,0.8796920115495669,132143,519
go,golang,Go,11.01917808219178,1,0,-1,67944,58770,0.8649770399152243,129552,2270
tech-interview-handbook,yangshun,TypeScript,9.139726027397261,481,0,-1,115,74,0.6434782608695652,129096,166
fucking-algorithm,labuladong,Markdown,5.512328767123288,238,1,-1,920,916,0.9956521739130435,128974,110
scrcpy,Genymobile,C,7.758904109589041,113,47,-1,5626,3176,0.5645218627799502,126998,153
HelloGitHub,521xueweihan,Python,9.30958904109589,16,57,-1,2840,2651,0.9334507042253521,126079,17
30-seconds-of-code,Chalarangelo,JavaScript,7.736986301369863,827,12,-1,300,300,1.0,125065,310
yt-dlp,yt-dlp,Python,4.8273972602739725,2911,118,-1,9784,8185,0.8365699100572364,123526,1464
react-native,facebook,C++,10.627397260273973,930,410,-1,27204,26549,0.9759226584325834,123514,2825
PowerToys,microsoft,C#,6.317808219178082,5663,117,-1,34579,27577,0.7975071575233523,122510,10000
electron,electron,C++,12.372602739726027,23274,1000,-1,21050,20299,0.9643230403800475,118004,1293
kubernetes,kubernetes,Go,11.221917808219178,62232,755,-1,47705,45790,0.9598574572895923,117036,4007
hello-algo,krahets,Java,2.802739726027397,945,9,-1,270,258,0.9555555555555556,115694,200
free-programming-books-zh_CN,justjavac,Unknown,11.808219178082192,282,3,-1,0,0,0,115047,124
langchain,langchain-ai,Jupyter Notebook,2.852054794520548,14493,948,-1,8645,8433,0.9754771544245229,114083,3728
node,nodejs,JavaScript,10.747945205479452,10771,455,-1,19464,17743,0.9115803534730785,112900,3589
dify,langgenius,TypeScript,2.367123287671233,7076,140,-1,12620,11926,0.9450079239302694,111834,944
d3,d3,Shell,14.915068493150685,493,194,-1,2229,2220,0.9959623149394348,111340,139
free-for-dev,ripienaar,HTML,10.441095890410958,2762,0,-1,0,0,0,110725,1782
three.js,mrdoob,JavaScript,15.43013698630137,14407,171,-1,13179,12729,0.9658547689506032,108243,1980
open-webui,open-webui,JavaScript,1.8821917808219177,2516,122,-1,6192,5983,0.9662467700258398,107671,617
axios,axios,JavaScript,11.021917808219179,1001,97,-1,4844,4607,0.9510734929810074,107453,495
rust,rust-lang,Rust,15.197260273972603,65685,140,-1,59256,48623,0.8205582557040637,105986,5657
excalidraw,excalidraw,TypeScript,5.6438356164383565,3702,14,-1,4244,2405,0.5666823751178134,105858,334
TypeScript,microsoft,TypeScript,11.191780821917808,14675,212,0,42458,36877,0.8685524518347544,105689,809
langflow,langflow-ai,Python,2.5397260273972604,4632,262,-1,2701,2260,0.836727138097001,104959,301
deno,denoland,Rust,7.279452054794521,13347,342,-1,13183,10913,0.8278085413031935,104000,1055
nodebestpractices,goldbergyoni,Dockerfile,7.942465753424657,765,0,-1,328,285,0.8689024390243902,103983,228
create-react-app,facebook,JavaScript,9.106849315068493,1949,83,0,8402,6567,0.7815996191383004,103458,956
GitHub-Chinese-Top-Charts,GrowingGit,Java,5.96986301369863,0,0,-1,340,161,0.47352941176470587,101434,1
godot,godotengine,C++,11.64109589041096,38721,61,-1,58147,46040,0.7917863346346329,100525,3006
terminal,microsoft,C++,8.038356164383561,4189,136,-1,13463,11867,0.8814528708311669,99305,444
DeepSeek-V3,deepseek-ai,Python,0.6575342465753424,21,1,-1,589,559,0.9490662139219015,98907,22
angular,angular,TypeScript,10.936986301369863,3894,471,0,29482,28136,0.954345024082491,98523,2158
frp,fatedier,Go,9.67945205479452,683,106,-1,3905,3848,0.9854033290653009,97758,121
papers-we-love,papers-we-love,Shell,11.695890410958905,437,0,0,246,245,0.9959349593495935,97423,258
Awesome-Hacking,Hack-with-Github,Unknown,9.405479452054795,34,0,-1,0,0,0,96711,29
iptv,iptv-org,TypeScript,6.778082191780822,6672,0,-1,14881,14437,0.9701632954774545,96483,358
material-ui,mui,TypeScript,11.021917808219179,20808,547,-1,20167,18553,0.9199682649873556,96449,3048
rustdesk,rustdesk,Rust,4.904109589041096,3638,31,-1,3596,3541,0.9847052280311457,96230,332
tauri,tauri-apps,Rust,6.117808219178082,5167,1000,-1,5775,4646,0.8045021645021645,95870,495
ant-design,ant-design,TypeScript,10.33972602739726,15776,714,-1,31628,30401,0.9612052611609966,95754,2282
generative-ai-for-beginners,microsoft,Jupyter Notebook,2.180821917808219,388,0,-1,176,166,0.9431818181818182,95415,204
thefuck,nvbn,Python,10.383561643835616,481,17,-1,760,472,0.6210526315789474,93668,182
clean-code-javascript,ryanmcdermott,JavaScript,8.747945205479452,149,0,-1,235,163,0.6936170212765957,93639,110
ui,shadcn-ui,TypeScript,2.6356164383561644,636,52,-1,3349,2380,0.7106598984771574,93511,288
HowToCook,Anduin2017,Dockerfile,5.484931506849315,586,4,-1,782,346,0.4424552429667519,92759,405
pytorch,pytorch,Python,9.032876712328767,6193,61,-1,53280,37753,0.7085773273273274,92627,4019
java-design-patterns,iluwatar,Java,11.046575342465754,1507,0,0,959,830,0.8654848800834203,92559,455
neovim,neovim,Vim Script,11.567123287671233,16154,45,-1,13129,11482,0.8745525173280524,92173,1563
puppeteer,puppeteer,TypeScript,8.295890410958904,5424,560,-1,7221,6955,0.9631629968148456,92153,518
Web-Dev-For-Beginners,microsoft,JavaScript,4.786301369863014,517,0,-1,331,243,0.7341389728096677,91539,294
DeepSeek-R1,deepseek-ai,Unknown,0.589041095890411,9,1,-1,631,592,0.9381933438985737,90970,13
vue-element-admin,PanJiaChen,Vue,8.356164383561644,311,49,-1,3609,2357,0.6530894984760321,89804,121
tailwindcss,tailwindlabs,TypeScript,7.884931506849315,3072,290,-1,4544,4464,0.9823943661971831,89749,317
fastapi,fastapi,Python,6.712328767123288,2738,208,-1,3466,3417,0.985862665897288,88700,837
every-programmer-should-know,mtdvio,Unknown,8.002739726027396,99,0,-1,52,23,0.4423076923076923,87917,82
storybook,storybookjs,TypeScript,9.438356164383562,11483,1000,0,13696,11618,0.8482768691588785,87582,2011
supabase,supabase,TypeScript,5.868493150684931,12948,22,-1,4663,4440,0.9521767102723568,87558,1546
awesome-mac,jaywcjlove,JavaScript,9.106849315068493,991,12,-1,481,367,0.762993762993763,87557,611
whisper,openai,Python,2.936986301369863,119,13,-1,0,0,0,87109,159
nvm,nvm-sh,Shell,15.367123287671232,729,70,-1,2315,1999,0.8634989200863931,86531,371
ComfyUI,comfyanonymous,Python,2.6,1211,74,-1,6210,3677,0.592109500805153,86396,234
NextChat,ChatGPTNextWeb,TypeScript,2.4575342465753423,889,77,-1,3547,2888,0.8142091908655201,85606,256
v2rayN,2dust,C#,6.071232876712329,273,265,-1,6024,6020,0.99933598937583,85425,89
llama.cpp,ggml-org,C++,2.4575342465753423,5533,1000,-1,5724,5385,0.9407756813417191,85393,1237
bitcoin,bitcoin,C++,14.687671232876712,15518,56,-1,8687,8276,0.9526879244848624,85171,1002
app-ideas,florinpop17,Unknown,6.495890410958904,149,0,-1,170,44,0.25882352941176473,84974,68
django,django,Python,13.32876712328767,9863,0,-1,0,0,0,84660,2673
svelte,sveltejs,JavaScript,8.761643835616438,5993,511,-1,8501,7685,0.9040112927890837,83836,801
gin,gin-gonic,Go,11.191780821917808,1114,27,0,2348,1680,0.7155025553662692,83692,472
opencv,opencv,C++,13.104109589041096,13085,66,-1,11236,8632,0.7682449270202919,83655,1704
hugo,gohugoio,Go,12.145205479452056,2960,337,-1,7800,7362,0.9438461538461539,83035,832
mermaid,mermaid-js,TypeScript,10.813698630136987,2440,164,-1,3371,2098,0.6223672500741619,82347,639
realworld,gothinkster,TypeScript,9.495890410958904,433,0,0,542,503,0.9280442804428044,82254,86
animate.css,animate-css,CSS,13.873972602739727,315,22,0,882,841,0.953514739229025,82070,122
laravel,laravel,Blade,14.219178082191782,1641,198,-1,0,0,0,81908,717
FreeDomain,DigitalPlatDev,HTML,1.2328767123287672,0,0,-1,0,0,0,81429,4
mall,macrozheng,Java,7.391780821917808,1,3,-1,497,487,0.9798792756539235,81365,1
core,home-assistant,Python,11.93972602739726,75798,1000,-1,62509,60161,0.9624374090131022,80881,4323
manim,3b1b,Python,10.43013698630137,642,13,-1,1212,761,0.6278877887788779,80026,166
FiraCode,tonsky,Clojure,10.789041095890411,137,29,-1,1364,954,0.6994134897360704,79953,123
bun,oven-sh,Zig,4.361643835616438,5985,196,-1,13117,8322,0.6344438514904323,79885,821
system-prompts-and-models-of-ai-tools,x1xhlol,Unknown,0.4684931506849315,28,0,-1,104,56,0.5384615384615384,78522,21
spring-boot,spring-projects,Java,12.852054794520548,42,320,0,39292,38736,0.9858495368013845,78182,1173
advanced-java,doocs,Java,6.884931506849315,88,1,-1,147,146,0.9931972789115646,78138,490
devops-exercises,bregman-arie,Python,5.8931506849315065,302,0,0,99,64,0.6464646464646465,78026,205
