ref;title;author;lastRunTime;totalVotes;competition;domain;dataDependency;codeDependency;awareness;modularity;configurableOptions;scalability;readability;performance;duplicateCodeElimination;total
pmarcelino/comprehensive-data-exploration-with-python;comprehensive-data-exploration-with-python;pmarcelino;489;1985;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
serigne/stacked-regressions-top-4-on-leaderboard;stacked-regressions-top-4-on-leaderboard;serigne;1251;4812;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
alexisbcook/exercise-intro-to-automl;exercise-intro-to-automl;alexisbcook;352;34;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
gusthema/house-prices-prediction-using-tfdf;house-prices-prediction-using-tfdf;gusthema;884;1102;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
dansbecker/handling-missing-values;handling-missing-values;dansbecker;210;2455;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
rtatman/welcome-to-data-science-in-r-workbook;welcome-to-data-science-in-r-workbook;rtatman;150;677;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
ryanholbrook/feature-engineering-for-house-prices;feature-engineering-for-house-prices;ryanholbrook;732;2421;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
apapiu/regularized-linear-models;regularized-linear-models;apapiu;455;2389;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
dansbecker/submitting-from-a-kernel;submitting-from-a-kernel;dansbecker;88;1890;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
dansbecker/selecting-and-filtering-in-pandas;selecting-and-filtering-in-pandas;dansbecker;180;1788;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
dansbecker/xgboost;xgboost;dansbecker;330;1780;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda;house-prices-lasso-xgboost-and-a-detailed-eda;erikbruin;1402;1750;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
dansbecker/using-categorical-data-with-one-hot-encoding;using-categorical-data-with-one-hot-encoding;dansbecker;250;1650;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
agileteam/py-t1-4-expected-questions;py-t1-4-expected-questions;agileteam;55;15;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk;knowledge-graph-nlp-tutorial-bert-spacy-nltk;pavansanagapati;2888;1612;Titanic;Social Science/History;1;0;0;0;0;0;0;0;0;1
juliencs/a-study-on-regression-applied-to-the-ames-dataset;a-study-on-regression-applied-to-the-ames-dataset;juliencs;950;1580;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
jesucristo/1-house-prices-solution-top-1;1-house-prices-solution-top-1;jesucristo;1850;1550;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition;how-i-made-top-0-3-on-a-kaggle-competition;lavanyashukla01;650;1540;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
ekami66/detailed-exploratory-data-analysis-with-python;detailed-exploratory-data-analysis-with-python;ekami66;1100;1450;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
faressayah/practical-introduction-to-10-regression-algorithm;practical-introduction-to-10-regression-algorithm;faressayah;850;1430;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
dansbecker/finding-your-files-in-kaggle-kernels;finding-your-files-in-kaggle-kernels;dansbecker;75;1400;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
dgawlik/house-prices-eda;house-prices-eda;dgawlik;700;1380;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
masumrumi/a-detailed-regression-guide-with-house-pricing;a-detailed-regression-guide-with-house-pricing;masumrumi;1300;1350;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
nareshbhat/outlier-the-silent-killer;outlier-the-silent-killer;nareshbhat;450;1345;Titanic;Social Science/History;1;0;0;0;0;0;0;0;0;1
bsivavenu/house-price-calculation-methods-for-beginners;house-price-calculation-methods-for-beginners;bsivavenu;550;1320;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
emrearslan123/house-price-prediction;house-price-prediction;emrearslan123;600;1300;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
marsggbo/kaggle;kaggle;marsggbo;25;1280;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
akhabash/cheatsheet-70-ggplot-charts;cheatsheet-70-ggplot-charts;akhabash;350;1275;Titanic;Social Science/History;1;0;0;0;0;0;0;0;0;1
prashant111/comprehensive-guide-on-feature-selection;comprehensive-guide-on-feature-selection;prashant111;950;1250;General Data Science;General Data Science;1;0;0;0;0;0;0;0;0;1
agileteam/t2-4-house-prices-regression;t2-4-house-prices-regression;agileteam;120;12;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
neviadomski/how-to-get-to-top-25-with-simple-model-sklearn;how-to-get-to-top-25-with-simple-model-sklearn;neviadomski;400;1230;House Prices;Real Estate;1;0;0;0;0;0;0;0;0;1
pavansanagapati/ensemble-learning-techniques-tutorial;ensemble-learning-techniques-tutorial;pavansanagapati;1100;1225;Titanic;Social Science/History;1;0;0;0;0;0;0;0;0;1
notaapple/detailed-exploratory-data-analysis-using-r;detailed-exploratory-data-analysis-using-r;notaapple;800;1200;General Data Science;General Data Science;0;1;0;0;0;0;0;0;0;1
dejavu23/house-prices-eda-to-ml-beginner;house-prices-eda-to-ml-beginner;dejavu23;900;1180;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
kenjee/housing-prices-example-with-video-walkthrough;housing-prices-example-with-video-walkthrough;kenjee;750;1175;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
parulpandey/useful-python-libraries-for-data-science;useful-python-libraries-for-data-science;parulpandey;500;1170;Titanic;Social Science/History;0;1;0;0;0;0;0;0;0;1
erick5/predicting-house-prices-with-machine-learning;predicting-house-prices-with-machine-learning;erick5;650;1150;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
angqx95/data-science-workflow-top-2-with-tuning;data-science-workflow-top-2-with-tuning;angqx95;1500;1140;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
skirmer/fun-with-real-estate-data;fun-with-real-estate-data;skirmer;450;1130;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
agodwinp/stacking-house-prices-walkthrough-to-top-5;stacking-house-prices-walkthrough-to-top-5;agodwinp;1200;1120;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
pavansanagapati/14-simple-tips-to-save-ram-memory-for-1-gb-dataset;14-simple-tips-to-save-ram-memory-for-1-gb-dataset;pavansanagapati;300;1115;Titanic;Social Science/History;0;1;0;0;0;0;0;0;0;1
massquantity/all-you-need-is-pca-lb-0-11421-top-4;all-you-need-is-pca-lb-0-11421-top-4;massquantity;1100;1100;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
frtgnn/pycaret-introduction-classification-regression;pycaret-introduction-classification-regression;frtgnn;700;1095;Titanic;Social Science/History;0;1;0;0;0;0;0;0;0;1
tannercarbonati/detailed-data-analysis-ensemble-modeling;detailed-data-analysis-ensemble-modeling;tannercarbonati;1300;1080;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
zoupet/neural-network-model-for-house-prices-tensorflow;neural-network-model-for-house-prices-tensorflow;zoupet;1000;1070;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
humananalog/xgboost-lasso;xgboost-lasso;humananalog;550;1060;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
fedi1996/house-prices-data-cleaning-viz-and-modeling;house-prices-data-cleaning-viz-and-modeling;fedi1996;1200;1050;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
ryannolan1/kaggle-housing-youtube-video;kaggle-housing-youtube-video;ryannolan1;400;1040;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
keithfish/kaggle-7-xgbst-enet;kaggle-7-xgbst-enet;keithfish;800;1030;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
